AgeGeneration,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHomeCategory,Education,EducationField,EmployeeEngagementScore,EmployeeId,ExperiencePriorToCurrentJob,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceSatisfactionIndex,StockOptionLevel,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Gen Z,0,Travel_Frequently,1012,Research & Development,Short Distance,Master,Life Sciences,Good,803,Junior,Male,75,Staff,Research Scientist,Divorced,3761,2373,9,No,12,Medium,1,3,4,0,3
Gen Z,0,Travel_Rarely,1107,Research & Development,Long Distance,Master,Life Sciences,Better,804,Junior,Female,93,Staff,Research Scientist,Divorced,2514,26968,4,No,22,Medium,1,1,5,1,7
Gen Y,0,Travel_Rarely,1207,Research & Development,Long Distance,Below College,Medical,Better,805,Junior,Male,74,Staff,Laboratory Technician,Married,3221,3297,1,Yes,11,High,3,3,8,3,8
Millennials,0,Travel_Rarely,1400,Sales,Short Distance,Below College,Life Sciences,Better,806,Junior,Female,70,Junior Supervisor,Sales Executive,Married,5714,5829,1,No,20,Medium,0,3,5,1,3
Millennials,1,Travel_Rarely,330,Research & Development,Long Distance,Master,Medical,Good,807,Junior,Male,98,Junior Supervisor,Manufacturing Director,Married,6179,21057,1,Yes,15,High,2,3,2,6,7
Gen Y,0,Travel_Rarely,277,Research & Development,Short Distance,Bachelor,Life Sciences,Good,808,Senior,Male,97,Junior Supervisor,Healthcare Representative,Single,4240,13119,2,No,13,Medium,0,0,2,2,2
Millennials,0,Travel_Frequently,715,Sales,Short Distance,Master,Other,Better,809,Junior,Male,54,Junior Supervisor,Sales Executive,Single,5332,21602,7,No,13,High,0,3,2,0,3
Gen Y,0,Travel_Rarely,809,Research & Development,Short Distance,Bachelor,Life Sciences,Better,810,Senior,Male,36,Junior Manager,Manager,Single,15379,22384,4,No,14,Medium,0,2,7,0,0
Gen Y,0,Travel_Rarely,1473,Research & Development,Short Distance,Master,Other,Better,811,Junior,Female,74,Junior Supervisor,Healthcare Representative,Divorced,4522,2227,4,Yes,14,High,0,3,2,0,2
Millennials,0,Travel_Rarely,258,Sales,Long Distance,Master,Life Sciences,Better,812,Junior,Male,74,Junior Supervisor,Sales Executive,Single,5337,19921,1,No,12,Very High,0,3,7,5,7
Gen X,0,Travel_Rarely,696,Sales,Short Distance,Master,Marketing,Better,813,Junior,Male,52,Junior Supervisor,Sales Executive,Divorced,5220,10893,0,Yes,18,Medium,1,3,7,1,9
Gen X,0,Travel_Rarely,258,Research & Development,Short Distance,Master,Other,Good,814,Mid-level,Female,54,Staff,Laboratory Technician,Married,2950,17363,9,No,13,Medium,0,2,4,0,4
Gen Z,0,Travel_Rarely,1280,Research & Development,Short Distance,Below College,Medical,Good,815,Junior,Male,64,Staff,Research Scientist,Married,2889,26897,1,No,11,High,2,2,2,2,1
Gen Y,0,Travel_Rarely,705,Sales,Short Distance,Master,Marketing,Good,816,Senior,Female,83,Senior Manager,Manager,Single,18947,22822,3,No,12,Medium,0,2,2,2,1
Gen Z,0,Non-Travel,830,Sales,Medium Distance,College,Life Sciences,Better,817,Junior,Female,78,Staff,Sales Representative,Married,2033,7103,1,No,13,High,1,2,0,0,0
Gen Z,0,Travel_Rarely,1010,Research & Development,Short Distance,Bachelor,Life Sciences,Better,818,Junior,Female,97,Staff,Research Scientist,Divorced,3760,5598,1,No,15,Medium,3,5,2,1,2
Gen Y,1,Travel_Frequently,143,Sales,Short Distance,Bachelor,Marketing,Better,819,Junior,Male,56,Junior Supervisor,Sales Executive,Single,9355,9558,1,No,18,Medium,0,5,7,7,7
Gen Y,0,Travel_Rarely,192,Research & Development,Short Distance,College,Life Sciences,Better,820,Mid-level,Male,69,Staff,Research Scientist,Married,2654,9655,3,No,21,High,2,3,2,0,2
Gen Z,0,Travel_Rarely,855,Sales,Short Distance,Master,Marketing,Better,821,Junior,Female,73,Junior Supervisor,Sales Executive,Divorced,4779,12761,7,No,14,Medium,2,3,2,0,2
Millennials,0,Travel_Frequently,1146,Sales,Long Distance,Bachelor,Medical,Good,822,Junior,Female,82,Junior Supervisor,Sales Executive,Married,4539,4905,1,No,12,Medium,1,3,7,0,1
Millennials,0,Travel_Rarely,147,Human Resources,Short Distance,Bachelor,Human Resources,Better,823,Junior,Male,99,Staff,Human Resources,Married,3600,8429,1,No,13,High,1,2,4,1,4
Gen Y,0,Travel_Frequently,748,Research & Development,Short Distance,College,Medical,Better,824,Junior,Female,74,Staff,Laboratory Technician,Single,3673,16458,1,No,13,Medium,0,3,9,5,8
Gen Y,0,Travel_Rarely,531,Sales,Short Distance,Master,Marketing,Better,825,Junior,Female,56,Senior Supervisor,Sales Executive,Single,10231,20364,3,No,14,Very High,0,3,7,15,17
Millennials,0,Travel_Rarely,466,Research & Development,Short Distance,Below College,Life Sciences,Good,826,Junior,Female,65,Junior Manager,Manufacturing Director,Married,12742,7060,1,No,16,High,1,3,6,11,8
Millennials,0,Travel_Rarely,1431,Research & Development,Short Distance,Master,Medical,Better,827,Junior,Female,96,Staff,Laboratory Technician,Divorced,2232,15417,7,No,14,High,3,1,2,1,2
Millennials,0,Non-Travel,1212,Sales,Short Distance,College,Marketing,Good,828,Junior,Female,78,Senior Supervisor,Sales Executive,Married,10377,13755,4,Yes,11,High,1,6,2,4,12
Millennials,0,Travel_Rarely,448,Research & Development,Medium Distance,Bachelor,Life Sciences,Good,829,Senior,Female,84,Senior Supervisor,Manufacturing Director,Single,7945,19948,6,Yes,15,High,0,2,2,3,3
Gen Z,1,Travel_Rarely,1449,Research & Development,Medium Distance,Master,Medical,Better,830,Junior,Male,45,Staff,Laboratory Technician,Divorced,2373,14180,2,Yes,13,Medium,1,2,2,0,2
Millennials,0,Travel_Rarely,884,Research & Development,Medium Distance,Bachelor,Life Sciences,Good,831,Junior,Female,80,Senior Supervisor,Manufacturing Director,Married,10435,25800,1,No,13,Medium,2,2,15,14,12
Gen X,0,Travel_Rarely,1178,Sales,Medium Distance,College,Life Sciences,Good,832,Senior,Female,87,Junior Supervisor,Sales Executive,Married,4936,14862,4,No,11,High,1,2,7,0,7
Gen Y,0,Travel_Rarely,538,Research & Development,Short Distance,Master,Technical Degree,Better,833,Junior,Male,66,Senior Supervisor,Healthcare Representative,Divorced,7441,20933,1,No,12,Low,3,4,8,7,7
Millennials,0,Travel_Rarely,1202,Research & Development,Short Distance,Below College,Medical,Better,834,Junior,Female,89,Junior Supervisor,Healthcare Representative,Divorced,6377,13888,5,No,20,Medium,3,0,11,11,8
Millennials,0,Travel_Rarely,604,Sales,Short Distance,Bachelor,Medical,Better,835,Junior,Male,56,Junior Supervisor,Sales Executive,Married,6209,11693,1,No,15,High,2,4,7,0,8
Gen Z,0,Travel_Rarely,995,Research & Development,Short Distance,Bachelor,Medical,Better,836,Junior,Female,77,Staff,Research Scientist,Divorced,2377,9834,5,No,18,Medium,1,2,2,2,2
Millennials,0,Travel_Frequently,1125,Sales,Short Distance,Master,Marketing,Better,837,Mid-level,Female,68,Senior Supervisor,Sales Executive,Married,9637,8277,2,No,14,Medium,2,3,2,2,2
Gen X,0,Travel_Frequently,1216,Research & Development,Medium Distance,Master,Life Sciences,Better,838,Expert,Male,87,Junior Manager,Research Director,Married,15787,21624,2,Yes,14,Medium,0,3,2,2,2
Millennials,0,Travel_Rarely,1398,Sales,Short Distance,Master,Life Sciences,Better,839,Junior,Female,79,Senior Manager,Manager,Married,18041,13022,0,No,14,High,0,2,15,1,12
Gen Y,0,Travel_Frequently,1249,Research & Development,Short Distance,Bachelor,Life Sciences,Better,840,Junior,Male,97,Senior Supervisor,Laboratory Technician,Divorced,5210,20308,1,No,18,Low,1,2,9,9,11
Gen Y,0,Travel_Rarely,1315,Research & Development,Short Distance,Master,Other,Better,841,Expert,Male,35,Senior Manager,Manager,Married,19513,9358,4,Yes,12,High,1,2,2,0,1
Gen Y,0,Travel_Rarely,1322,Research & Development,Long Distance,Bachelor,Life Sciences,Better,842,Expert,Female,43,Junior Manager,Research Director,Married,16880,22422,4,Yes,11,Medium,0,2,2,1,2
Gen Y,0,Non-Travel,248,Research & Development,Long Distance,College,Life Sciences,Better,843,Junior,Male,42,Junior Supervisor,Laboratory Technician,Married,3633,14039,1,Yes,15,Medium,1,2,8,0,8
Millennials,0,Travel_Frequently,853,Sales,Medium Distance,Doctor,Life Sciences,Better,844,Junior,Male,71,Senior Supervisor,Sales Executive,Married,9069,11031,1,No,22,Medium,1,3,8,1,8
Gen Y,0,Travel_Rarely,855,Research & Development,Short Distance,Bachelor,Life Sciences,Better,845,Junior,Male,54,Senior Supervisor,Manufacturing Director,Single,7898,18706,1,No,11,High,0,2,9,0,8
Millennials,0,Travel_Rarely,1300,Research & Development,Long Distance,College,Technical Degree,Better,846,Junior,Male,62,Junior Supervisor,Research Scientist,Divorced,3319,24447,1,No,17,Medium,2,3,8,4,7
Gen Y,0,Travel_Rarely,544,Human Resources,Short Distance,Below College,Technical Degree,Better,847,Junior,Male,52,Staff,Human Resources,Divorced,2696,24017,0,Yes,11,High,1,5,2,1,0
Gen Y,0,Travel_Frequently,117,Research & Development,Long Distance,Bachelor,Medical,Better,848,Junior,Female,58,Junior Manager,Manager,Divorced,17174,2437,3,No,11,High,1,3,17,4,7
Gen Z,0,Travel_Rarely,996,Research & Development,Short Distance,College,Medical,Better,849,Junior,Male,100,Staff,Research Scientist,Single,3230,10531,1,No,17,Medium,0,4,2,1,0
Millennials,0,Travel_Rarely,268,Research & Development,Short Distance,Doctor,Medical,Good,850,Junior,Male,92,Staff,Research Scientist,Married,3057,20471,6,Yes,13,High,1,0,0,0,1
Millennials,0,Travel_Rarely,1142,Research & Development,Long Distance,Master,Medical,Better,851,Junior,Female,30,Staff,Laboratory Technician,Married,4014,16002,3,Yes,15,Medium,1,3,2,2,2
Gen Z,1,Travel_Rarely,1157,Research & Development,Short Distance,Master,Medical,Good,852,Junior,Male,84,Staff,Research Scientist,Married,3464,24737,5,Yes,13,High,0,4,2,2,2
Gen Z,0,Travel_Frequently,638,Sales,Short Distance,Bachelor,Marketing,Good,853,Junior,Male,33,Staff,Sales Representative,Married,1790,26956,1,No,19,Medium,1,3,0,1,0
Gen X,0,Travel_Rarely,1376,Sales,Short Distance,College,Medical,Better,854,Junior,Male,45,Junior Manager,Manager,Divorced,14852,13938,6,No,13,High,1,3,13,15,2
Millennials,0,Travel_Frequently,200,Research & Development,Medium Distance,College,Life Sciences,Better,855,Mid-level,Male,60,Senior Supervisor,Manufacturing Director,Single,9362,19944,2,No,11,High,0,2,2,2,2
Millennials,0,Travel_Frequently,1480,Research & Development,Short Distance,College,Medical,Good,856,Junior,Male,30,Staff,Laboratory Technician,Single,2088,15062,4,No,12,High,0,3,7,7,2
Millennials,0,Travel_Rarely,1223,Research & Development,Short Distance,Bachelor,Technical Degree,Better,857,Junior,Female,59,Senior Supervisor,Healthcare Representative,Divorced,10096,8202,1,No,13,Medium,3,2,14,12,8
Gen X,0,Travel_Rarely,715,Research & Development,Short Distance,Bachelor,Life Sciences,Good,858,Expert,Female,69,Junior Manager,Manufacturing Director,Single,13726,21829,3,Yes,13,Medium,0,4,3,4,3
Millennials,0,Travel_Rarely,392,Sales,Short Distance,Master,Medical,Better,859,Junior,Male,93,Junior Supervisor,Sales Executive,Divorced,5505,3921,1,No,14,High,2,5,2,0,4
Millennials,0,Travel_Rarely,616,Research & Development,Short Distance,College,Life Sciences,Good,860,Junior,Female,99,Staff,Laboratory Technician,Married,3377,25605,4,No,17,Medium,1,5,3,0,2
Gen Y,0,Travel_Rarely,1015,Research & Development,Short Distance,Doctor,Medical,Good,861,Junior,Female,50,Junior Supervisor,Laboratory Technician,Single,5769,23447,1,Yes,14,Low,0,3,7,1,4
Millennials,0,Travel_Rarely,529,Research & Development,Short Distance,Bachelor,Technical Degree,Better,862,Junior,Male,78,Staff,Research Scientist,Single,2439,11288,1,No,14,High,0,4,2,1,2
Gen Y,0,Travel_Rarely,174,Sales,Short Distance,Master,Technical Degree,Good,863,Senior,Male,56,Junior Manager,Sales Executive,Married,13120,11879,6,No,17,Medium,1,3,8,2,3
Millennials,0,Travel_Rarely,132,Research & Development,Short Distance,Bachelor,Life Sciences,Better,864,Junior,Female,55,Staff,Laboratory Technician,Married,3038,22002,3,No,12,Medium,0,3,0,0,0
Gen Z,0,Travel_Rarely,427,Sales,Short Distance,Bachelor,Life Sciences,Better,865,Junior,Male,99,Staff,Sales Representative,Divorced,2275,25103,1,Yes,21,High,1,2,2,0,2
Gen Z,0,Travel_Frequently,1312,Research & Development,Short Distance,Master,Technical Degree,Good,866,Junior,Female,78,Staff,Research Scientist,Single,4968,26427,0,No,16,High,0,2,7,0,7
Gen X,0,Travel_Rarely,970,Research & Development,Short Distance,Bachelor,Life Sciences,Better,867,Expert,Male,59,Junior Manager,Research Director,Married,14814,13514,3,No,19,High,0,3,1,1,3
Gen X,0,Travel_Rarely,868,Sales,Short Distance,Bachelor,Marketing,Better,868,Expert,Male,73,Junior Manager,Sales Executive,Married,11836,22789,5,No,14,Medium,1,3,0,2,2
Gen X,0,Non-Travel,350,Sales,Short Distance,Bachelor,Medical,Better,869,Expert,Male,52,Junior Manager,Manager,Divorced,16291,22577,4,No,22,Medium,1,0,9,14,14
Gen Y,0,Travel_Rarely,528,Human Resources,Short Distance,Bachelor,Life Sciences,Better,870,Mid-level,Female,44,Staff,Human Resources,Divorced,3195,4167,4,Yes,18,Medium,3,2,2,2,2
Millennials,0,Travel_Rarely,1470,Research & Development,Short Distance,Bachelor,Medical,Good,871,Junior,Female,71,Staff,Research Scientist,Married,3936,9953,1,No,11,Low,1,2,4,7,7
Millennials,1,Travel_Frequently,1445,Research & Development,Short Distance,Doctor,Life Sciences,Better,872,Junior,Female,100,Senior Supervisor,Manufacturing Director,Single,7446,8931,1,No,11,Medium,0,2,8,4,7
Millennials,0,Non-Travel,967,Research & Development,Medium Distance,Master,Technical Degree,Good,873,Junior,Male,85,Staff,Research Scientist,Married,2307,14460,1,Yes,23,Medium,1,2,2,3,0
Gen Z,0,Travel_Rarely,1389,Research & Development,Long Distance,Master,Life Sciences,Better,874,Junior,Female,51,Senior Supervisor,Manufacturing Director,Divorced,9980,10195,1,No,11,Medium,1,1,9,8,8
Millennials,0,Travel_Rarely,287,Research & Development,Short Distance,Master,Life Sciences,Good,875,Junior,Female,62,Staff,Research Scientist,Married,2977,8952,1,No,12,High,1,5,3,1,1
Gen Z,1,Travel_Frequently,342,Research & Development,Short Distance,Bachelor,Life Sciences,Better,876,Junior,Male,57,Staff,Research Scientist,Married,2042,15346,6,Yes,14,Low,1,2,2,1,2
Gen Z,1,Travel_Rarely,500,Sales,Short Distance,Bachelor,Medical,Good,877,Junior,Female,49,Staff,Sales Representative,Single,2044,22052,1,No,13,High,0,3,2,0,2
Millennials,0,Travel_Rarely,828,Sales,Short Distance,Below College,Life Sciences,Better,878,Junior,Male,77,Junior Supervisor,Sales Executive,Single,6582,8346,4,Yes,13,High,0,2,5,0,5
Millennials,0,Travel_Rarely,1075,Human Resources,Short Distance,College,Human Resources,Better,879,Junior,Male,57,Staff,Human Resources,Divorced,2277,22650,3,Yes,11,High,1,4,3,0,3
Gen Z,0,Travel_Rarely,949,Research & Development,Short Distance,Bachelor,Technical Degree,Good,880,Junior,Male,81,Staff,Laboratory Technician,Married,3229,4910,4,No,11,Medium,1,2,2,0,2
Millennials,0,Travel_Rarely,1442,Research & Development,Short Distance,Bachelor,Medical,Better,881,Junior,Female,46,Senior Supervisor,Healthcare Representative,Single,8621,17654,1,No,14,Medium,0,3,7,7,7
Millennials,0,Travel_Rarely,371,Sales,Medium Distance,Bachelor,Life Sciences,Bad,882,Mid-level,Male,80,Senior Supervisor,Sales Executive,Married,9610,3840,3,No,13,High,1,2,3,0,2
Millennials,0,Travel_Frequently,515,Research & Development,Short Distance,College,Life Sciences,Better,883,Junior,Female,98,Senior Supervisor,Research Director,Single,13458,15146,1,Yes,12,Medium,0,1,14,8,12
Gen Y,0,Travel_Rarely,1448,Research & Development,Long Distance,Bachelor,Technical Degree,Better,884,Mid-level,Male,55,Senior Supervisor,Manufacturing Director,Married,9380,14720,4,Yes,18,High,2,4,1,1,2
Millennials,0,Travel_Frequently,902,Research & Development,Long Distance,College,Medical,Good,885,Senior,Female,92,Junior Supervisor,Research Scientist,Married,4422,21203,3,Yes,13,High,1,3,1,0,0
Millennials,0,Non-Travel,325,Research & Development,Short Distance,Bachelor,Medical,Better,886,Junior,Male,74,Junior Supervisor,Manufacturing Director,Single,9936,3787,0,No,19,Low,0,2,4,1,7
Gen Z,0,Travel_Rarely,253,Research & Development,Medium Distance,Bachelor,Medical,Better,887,Junior,Female,43,Staff,Research Scientist,Married,2244,24440,1,No,13,Medium,1,1,1,1,2
Millennials,1,Travel_Rarely,1180,Research & Development,Long Distance,Below College,Medical,Better,888,Senior,Male,70,Junior Supervisor,Healthcare Representative,Married,6673,11354,7,Yes,19,Low,0,2,0,0,0
Millennials,0,Travel_Rarely,1395,Research & Development,Short Distance,Master,Medical,Better,889,Junior,Male,48,Junior Supervisor,Research Scientist,Single,5098,18698,1,No,19,Medium,0,5,7,0,8
Gen Y,0,Travel_Rarely,782,Research & Development,Short Distance,Master,Other,Good,890,Senior,Male,50,Junior Manager,Research Director,Divorced,16627,2671,4,Yes,14,High,1,3,0,0,0
Gen Z,0,Travel_Rarely,598,Research & Development,Short Distance,Bachelor,Life Sciences,Better,891,Junior,Male,91,Staff,Research Scientist,Married,2451,22376,6,No,18,Medium,2,2,0,0,0
Gen Y,0,Travel_Rarely,530,Sales,Long Distance,Below College,Medical,Good,892,Senior,Female,91,Senior Supervisor,Manager,Married,12504,23978,3,No,21,Medium,1,3,0,0,0
Gen Z,0,Non-Travel,287,Research & Development,Short Distance,College,Life Sciences,Better,893,Junior,Male,73,Staff,Research Scientist,Single,1051,13493,1,No,15,High,0,2,0,0,0
Millennials,0,Travel_Rarely,1040,Research & Development,Short Distance,College,Life Sciences,Better,894,Mid-level,Male,79,Junior Supervisor,Healthcare Representative,Divorced,6842,26308,6,No,20,Medium,1,3,4,0,4
Millennials,0,Travel_Rarely,1296,Research & Development,Short Distance,Master,Technical Degree,Better,895,Junior,Male,62,Senior Supervisor,Manufacturing Director,Single,8095,18264,0,No,13,High,0,5,6,0,13
Gen Z,0,Travel_Frequently,193,Research & Development,Short Distance,Bachelor,Life Sciences,Good,896,Junior,Male,52,Staff,Laboratory Technician,Married,3867,14222,1,Yes,12,High,1,2,2,2,2
Gen Z,0,Travel_Rarely,160,Research & Development,Short Distance,Below College,Medical,Good,897,Junior,Female,51,Staff,Laboratory Technician,Single,3295,12862,1,No,13,Medium,0,3,2,1,2
Gen Z,0,Travel_Rarely,592,Research & Development,Short Distance,Bachelor,Life Sciences,Better,898,Mid-level,Male,59,Staff,Laboratory Technician,Single,2062,19384,3,No,14,Medium,0,2,2,1,2
Gen Y,0,Travel_Rarely,1236,Research & Development,Short Distance,Master,Life Sciences,Good,899,Senior,Female,40,Junior Manager,Manager,Married,15402,17997,7,No,11,Medium,1,3,2,0,2
Gen Z,0,Travel_Rarely,350,Human Resources,Medium Distance,Bachelor,Human Resources,Good,900,Junior,Male,56,Staff,Human Resources,Divorced,2335,3157,4,Yes,15,Medium,3,3,2,2,0
Millennials,0,Travel_Rarely,989,Research & Development,Short Distance,Below College,Medical,Better,901,Junior,Female,46,Senior Manager,Manager,Married,19033,6499,1,No,14,High,1,2,8,9,9
Millennials,0,Travel_Rarely,219,Research & Development,Medium Distance,College,Other,Good,902,Junior,Female,44,Junior Supervisor,Manufacturing Director,Married,4788,25388,0,Yes,11,High,0,2,2,0,2
Gen Z,0,Travel_Rarely,390,Research & Development,Medium Distance,Master,Medical,Good,903,Junior,Male,62,Staff,Laboratory Technician,Married,2305,6217,1,No,15,High,3,3,2,0,2
Gen X,0,Travel_Rarely,584,Research & Development,Long Distance,Doctor,Medical,Better,904,Expert,Female,91,Junior Manager,Manager,Married,17426,18685,3,No,25,Medium,1,6,8,4,7
Gen Z,0,Travel_Rarely,141,Sales,Short Distance,Below College,Other,Better,905,Junior,Male,98,Junior Supervisor,Sales Executive,Married,4194,14363,1,Yes,18,Medium,0,3,3,0,3
Gen Z,1,Travel_Rarely,806,Research & Development,Short Distance,Bachelor,Technical Degree,Better,906,Junior,Female,39,Staff,Laboratory Technician,Divorced,3339,17285,3,Yes,13,Medium,2,2,7,7,7
Gen X,0,Travel_Frequently,1091,Research & Development,Short Distance,Below College,Life Sciences,Better,907,Senior,Male,65,Senior Supervisor,Manufacturing Director,Married,10976,15813,3,No,18,Medium,1,4,2,1,2
Millennials,0,Travel_Rarely,303,Sales,Long Distance,Bachelor,Life Sciences,Better,908,Junior,Male,84,Junior Supervisor,Sales Executive,Single,5813,13492,1,Yes,18,High,0,2,7,7,7
Millennials,0,Travel_Rarely,1274,Research & Development,Short Distance,Below College,Life Sciences,Better,909,Junior,Male,33,Senior Supervisor,Manufacturing Director,Divorced,10648,14394,1,No,25,High,1,6,8,0,8
Millennials,0,Travel_Rarely,444,Sales,Short Distance,College,Marketing,Better,910,Junior,Female,92,Junior Supervisor,Sales Executive,Married,5677,4258,3,No,14,Medium,1,4,8,5,10
Millennials,0,Travel_Rarely,1404,Sales,Short Distance,Bachelor,Life Sciences,Good,911,Senior,Male,59,Staff,Sales Representative,Single,2858,11473,4,No,14,Low,0,3,0,0,0
Millennials,0,Travel_Rarely,216,Research & Development,Short Distance,College,Medical,Better,912,Junior,Male,84,Junior Supervisor,Manufacturing Director,Divorced,4941,2819,6,No,20,Medium,2,0,2,0,1
Millennials,0,Travel_Frequently,688,Research & Development,Short Distance,College,Life Sciences,Better,913,Senior,Female,97,Junior Supervisor,Manufacturing Director,Divorced,5131,9192,7,No,13,Medium,3,3,2,0,2
Millennials,0,Travel_Rarely,1009,Sales,Short Distance,College,Life Sciences,Better,914,Junior,Female,31,Junior Supervisor,Sales Executive,Divorced,6893,19461,3,No,15,Medium,1,3,7,1,7
Gen X,0,Travel_Rarely,713,Research & Development,Short Distance,Bachelor,Life Sciences,Better,915,Senior,Female,67,Staff,Research Scientist,Divorced,4257,13939,4,Yes,18,Medium,1,3,2,2,2
Gen X,0,Travel_Frequently,1225,Sales,Short Distance,Below College,Life Sciences,Good,916,Senior,Female,57,Junior Supervisor,Sales Executive,Single,5473,24668,7,No,11,Medium,0,2,3,1,3
Millennials,0,Travel_Rarely,589,Research & Development,Long Distance,Master,Life Sciences,Better,917,Junior,Male,79,Junior Supervisor,Laboratory Technician,Married,5207,22949,1,Yes,12,Medium,1,3,14,5,7
Gen Z,0,Travel_Rarely,1220,Research & Development,Short Distance,Bachelor,Life Sciences,Good,918,Junior,Female,85,Staff,Research Scientist,Single,2478,20938,1,Yes,12,Medium,0,2,3,1,2
Millennials,0,Travel_Rarely,882,Sales,Short Distance,Master,Life Sciences,Better,919,Junior,Male,92,Senior Supervisor,Sales Executive,Divorced,7823,6812,6,No,13,High,1,2,9,0,8
Gen Z,0,Travel_Frequently,467,Sales,Short Distance,Bachelor,Life Sciences,Better,920,Junior,Male,55,Junior Supervisor,Sales Executive,Single,4898,11827,0,No,14,Medium,0,5,2,1,3
Gen Z,0,Travel_Rarely,224,Research & Development,Short Distance,Master,Technical Degree,Good,921,Junior,Male,100,Staff,Research Scientist,Single,2362,7568,6,No,13,Low,0,2,7,0,7
Millennials,0,Travel_Rarely,546,Research & Development,Short Distance,Bachelor,Life Sciences,Better,922,Junior,Male,83,Staff,Laboratory Technician,Divorced,2008,6896,1,No,14,Medium,2,3,0,1,0
Gen Y,0,Travel_Rarely,1059,Research & Development,Short Distance,College,Other,Better,923,Expert,Male,93,Senior Manager,Manager,Single,19613,26362,8,No,22,Very High,0,2,0,0,1
Gen Y,0,Travel_Rarely,916,Research & Development,Medium Distance,College,Life Sciences,Better,924,Mid-level,Female,82,Junior Supervisor,Research Scientist,Single,6545,23016,3,Yes,13,Medium,0,1,2,0,2
Gen Y,0,Travel_Rarely,706,Research & Development,Short Distance,College,Life Sciences,Good,925,Junior,Male,82,Senior Supervisor,Manufacturing Director,Divorced,8578,19989,3,No,14,High,1,4,8,4,7
Millennials,0,Travel_Rarely,1031,Research & Development,Short Distance,Master,Life Sciences,Good,926,Senior,Female,45,Junior Supervisor,Research Scientist,Divorced,4505,15000,6,No,15,Medium,1,3,0,0,0
Gen Y,0,Travel_Rarely,645,Sales,Short Distance,Bachelor,Marketing,Better,927,Junior,Male,49,Senior Supervisor,Sales Executive,Married,8392,19566,1,No,16,Medium,1,2,7,0,7
Gen Z,1,Travel_Frequently,426,Human Resources,Medium Distance,Master,Life Sciences,Good,928,Junior,Female,58,Staff,Human Resources,Divorced,2741,22808,0,Yes,11,Medium,1,2,7,1,0
Millennials,0,Non-Travel,976,Research & Development,Short Distance,College,Medical,Better,929,Junior,Male,48,Staff,Research Scientist,Divorced,3065,3995,1,Yes,13,Medium,1,3,2,2,3
Gen Z,0,Travel_Rarely,337,Sales,Short Distance,Below College,Marketing,Better,930,Junior,Male,31,Staff,Sales Representative,Single,2679,4567,1,No,13,Medium,0,3,0,1,0
Millennials,1,Travel_Frequently,874,Research & Development,Medium Distance,Bachelor,Medical,Good,931,Junior,Male,72,Staff,Laboratory Technician,Married,2610,6233,1,No,12,High,1,5,2,2,2
Gen Z,1,Travel_Rarely,489,Human Resources,Short Distance,College,Technical Degree,Better,932,Junior,Male,52,Staff,Human Resources,Single,2564,18437,1,No,12,Medium,0,3,0,0,0
Millennials,0,Travel_Rarely,638,Research & Development,Short Distance,College,Medical,Better,933,Junior,Female,91,Junior Supervisor,Research Scientist,Married,5175,22162,5,No,12,High,1,3,3,1,3
Gen Y,0,Non-Travel,145,Sales,Short Distance,Bachelor,Life Sciences,Better,934,Junior,Female,95,Junior Supervisor,Sales Executive,Married,6347,24920,0,No,12,Medium,1,3,7,0,13
Millennials,0,Non-Travel,217,Research & Development,Medium Distance,Master,Life Sciences,Better,935,Mid-level,Male,78,Junior Supervisor,Manufacturing Director,Single,7779,23238,2,No,20,Medium,0,0,9,0,9
Gen Y,0,Travel_Rarely,1099,Sales,Short Distance,Bachelor,Marketing,Better,936,Junior,Male,88,Senior Manager,Manager,Married,18213,8751,7,No,11,Medium,1,5,9,3,10
Gen Z,0,Travel_Rarely,810,Sales,Short Distance,Bachelor,Life Sciences,Better,937,Junior,Male,57,Junior Supervisor,Sales Executive,Married,4851,15678,0,No,22,High,1,4,2,1,2
Millennials,0,Travel_Rarely,461,Research & Development,Medium Distance,Below College,Life Sciences,Better,938,Junior,Female,53,Staff,Research Scientist,Single,3452,17241,3,No,18,Medium,0,4,2,0,2
Gen Z,0,Travel_Rarely,1103,Research & Development,Medium Distance,Bachelor,Life Sciences,Good,939,Junior,Male,42,Staff,Research Scientist,Married,2235,14377,1,Yes,14,Medium,2,3,7,6,8
Gen Z,0,Travel_Rarely,718,Research & Development,Short Distance,Below College,Medical,Good,940,Junior,Male,79,Junior Supervisor,Manufacturing Director,Married,5056,17689,1,Yes,15,High,1,2,7,1,2
Gen Y,0,Travel_Rarely,328,Research & Development,Short Distance,Bachelor,Medical,Good,941,Junior,Male,86,Staff,Laboratory Technician,Married,3690,3425,2,No,15,High,1,2,2,0,2
Gen Z,0,Travel_Rarely,266,Research & Development,Short Distance,Bachelor,Medical,Good,942,Junior,Female,40,Staff,Research Scientist,Single,2096,18830,1,No,18,High,0,3,2,2,1
Millennials,0,Travel_Rarely,528,Human Resources,Short Distance,Master,Technical Degree,Good,943,Junior,Male,100,Staff,Human Resources,Single,4323,7108,1,No,17,Medium,0,2,4,1,4
